rank,token_id,count,frequency,cumulative_freq
267,1663,335,0.0705726708911959,59.60146454091946
268,13,334,0.07036200620196845,59.67182654712143
269,204,334,0.07036200620196845,59.742188553323395
270,1649,334,0.07036200620196845,59.81255055952536
271,182,333,0.07015134151274101,59.882701901038104
272,79,330,0.06951934744505864,59.95222124848316
273,882,330,0.06951934744505864,60.02174059592822
274,453,330,0.06951934744505864,60.09125994337328
275,198,330,0.06951934744505864,60.16077929081834
276,1524,329,0.0693086827558312,60.23008797357417
277,945,329,0.0693086827558312,60.29939665633
278,1439,328,0.06909801806660375,60.36849467439661
279,1027,327,0.0688873533773763,60.437382027773985
280,1679,327,0.0688873533773763,60.50626938115136
281,741,327,0.0688873533773763,60.57515673452874
282,191,327,0.0688873533773763,60.64404408790612
283,1166,327,0.0688873533773763,60.712931441283494
284,1498,325,0.06846602399892139,60.78139746528242
285,1685,325,0.06846602399892139,60.84986348928134
286,205,324,0.06825535930969394,60.918118848591035
287,183,324,0.06825535930969394,60.98637420790073
288,1097,323,0.0680446946204665,61.0544189025212
289,1753,323,0.0680446946204665,61.12246359714167
290,1750,321,0.0676233652420116,61.19008696238368
291,113,321,0.0676233652420116,61.257710327625695
292,1147,320,0.06741270055278414,61.32512302817848
293,504,320,0.06741270055278414,61.39253572873127
294,1440,319,0.06720203586355669,61.45973776459483
295,184,319,0.06720203586355669,61.526939800458386
296,1733,318,0.06699137117432924,61.59393117163272
297,18,317,0.0667807064851018,61.66071187811782
298,1425,317,0.0667807064851018,61.72749258460293
299,1691,317,0.0667807064851018,61.79427329108803
300,402,317,0.0667807064851018,61.86105399757314
301,92,317,0.0667807064851018,61.92783470405824
302,579,316,0.06657004179587435,61.99440474585412
303,764,316,0.06657004179587435,62.06097478765
304,50,315,0.06635937710664688,62.12733416475665
305,1764,314,0.06614871241741944,62.19348287717407
306,791,314,0.06614871241741944,62.25963158959149
307,29,314,0.06614871241741944,62.325780302008916
308,761,312,0.06572738303896454,62.39150768504788
309,1217,312,0.06572738303896454,62.45723506808684
310,356,311,0.0655167183497371,62.52275178643657
311,473,311,0.0655167183497371,62.588268504786306
312,1700,311,0.0655167183497371,62.65378522313604
313,1437,311,0.0655167183497371,62.719301941485774
314,202,311,0.0655167183497371,62.78481865983551
315,1581,311,0.0655167183497371,62.85033537818524
316,1501,310,0.06530605366050964,62.91564143184575
317,1549,310,0.06530605366050964,62.980947485506256
318,1005,309,0.06509538897128218,63.046042874477536
319,1287,308,0.06488472428205473,63.11092759875959
320,1664,308,0.06488472428205473,63.17581232304164
321,176,308,0.06488472428205473,63.24069704732369
322,1763,308,0.06488472428205473,63.305581771605745
323,1463,307,0.0646740595928273,63.37025583119857
324,687,307,0.0646740595928273,63.434929890791395
325,820,307,0.0646740595928273,63.49960395038422
326,1351,306,0.06446339490359984,63.56406734528782
327,961,306,0.06446339490359984,63.628530740191415
328,561,306,0.06446339490359984,63.69299413509501
329,1635,305,0.06425273021437239,63.757246865309384
330,368,304,0.06404206552514494,63.82128893083453
331,1723,304,0.06404206552514494,63.88533099635967
332,1238,303,0.06383140083591748,63.949162397195586
333,265,303,0.06383140083591748,64.0129937980315
334,789,303,0.06383140083591748,64.07682519886743
335,220,301,0.0634100714574626,64.1402352703249
336,371,301,0.0634100714574626,64.20364534178236
337,887,301,0.0634100714574626,64.26705541323983
338,1688,301,0.0634100714574626,64.3304654846973
339,6,301,0.0634100714574626,64.39387555615477
340,1325,301,0.0634100714574626,64.45728562761224
341,1488,301,0.0634100714574626,64.5206956990697
342,41,300,0.06319940676823513,64.58389510583794
343,1263,300,0.06319940676823513,64.64709451260617
344,1449,300,0.06319940676823513,64.71029391937441
345,1535,300,0.06319940676823513,64.77349332614264
346,303,300,0.06319940676823513,64.83669273291088
347,1492,299,0.06298874207900768,64.89968147498989
348,876,299,0.06298874207900768,64.9626702170689
349,83,299,0.06298874207900768,65.02565895914792
350,117,299,0.06298874207900768,65.08864770122693
351,1802,298,0.06277807738978024,65.15142577861671
352,1628,297,0.06256741270055279,65.21399319131727
353,335,297,0.06256741270055279,65.27656060401783
354,321,296,0.06235674801132533,65.33891735202916
355,1408,296,0.06235674801132533,65.40127410004048
356,236,295,0.06214608332209789,65.46342018336257
357,1573,294,0.061935418632870436,65.52535560199544
