rank,token_id,count,frequency,cumulative_freq
191,333,609,0.12912171789130877,60.02294083723453
192,1751,603,0.12784958273967026,60.1507904199742
193,1697,600,0.12721351516385102,60.27800393513805
194,636,597,0.12657744758803174,60.404581382726086
195,1035,594,0.1259413800122125,60.5305227627383
196,1482,593,0.12572935748693942,60.65625212022524
197,1646,589,0.12488126738584707,60.781133387611085
198,1687,583,0.12360913223420857,60.90474251984529
199,1758,582,0.12339710970893547,61.028139629554225
200,176,582,0.12339710970893547,61.15153673926316
201,1439,581,0.1231850871836624,61.27472182644682
202,1287,577,0.12233699708257006,61.39705882352939
203,1815,577,0.12233699708257006,61.51939582061196
204,1787,574,0.1217009295067508,61.64109675011871
205,682,571,0.12106486193093154,61.762161612049645
206,1272,564,0.11958070425401995,61.881742316303665
207,1335,559,0.11852059162765452,62.00026290793132
208,1559,554,0.11746047900128909,62.11772338693261
209,1602,552,0.11703643395074292,62.234759820883355
210,1752,551,0.11682441142546986,62.351584232308824
211,634,550,0.11661238890019676,62.46819662120902
212,1783,549,0.11640036637492368,62.58459698758394
213,836,548,0.11618834384965059,62.70078533143359
214,1774,547,0.11597632132437749,62.81676165275797
215,1686,547,0.11597632132437749,62.93273797408234
216,1785,538,0.11406811859691975,63.04680609267926
217,774,537,0.11385609607164665,63.160662188750905
218,1141,533,0.11300800597055431,63.27367019472146
219,182,532,0.11279598344528122,63.38646617816674
220,1526,531,0.11258396092000815,63.49905013908675
221,1402,531,0.11258396092000815,63.611634100006754
222,1579,531,0.11258396092000815,63.72421806092676
223,969,531,0.11258396092000815,63.836802021846765
224,1816,527,0.11173587081891581,63.948537892665684
225,966,526,0.11152384829364272,64.06006174095933
226,1730,526,0.11152384829364272,64.17158558925297
227,1457,524,0.11109980324309654,64.28268539249606
228,30,523,0.11088778071782347,64.39357317321388
229,529,522,0.11067575819255038,64.50424893140644
230,1308,521,0.11046373566727728,64.61471266707372
231,1427,518,0.10982766809145804,64.72454033516517
232,1383,517,0.10961564556618494,64.83415598073135
233,0,516,0.10940362304091188,64.94355960377227
234,167,515,0.10919160051563878,65.05275120428792
235,1788,515,0.10919160051563878,65.16194280480356
236,1445,512,0.10855553293981954,65.27049833774338
237,1296,511,0.10834351041454644,65.37884184815792
238,1441,504,0.10685935273763483,65.48570120089555
239,1703,503,0.10664733021236177,65.59234853110792
240,1673,503,0.10664733021236177,65.69899586132028
241,1647,503,0.10664733021236177,65.80564319153265
242,1516,501,0.10622328516181559,65.91186647669447
243,1656,499,0.10579924011126943,66.01766571680574
244,1528,499,0.10579924011126943,66.123464956917
245,639,498,0.10558721758599633,66.229052174503
246,983,497,0.10537519506072326,66.33442736956371
247,1330,497,0.10537519506072326,66.43980256462443
248,1812,495,0.10495115001017709,66.54475371463461
249,1805,495,0.10495115001017709,66.64970486464479
250,1510,493,0.1045271049596309,66.75423196960442
251,1156,487,0.1032549698079924,66.85748693941241
252,376,485,0.10283092475744622,66.96031786416985
253,289,485,0.10283092475744622,67.0631487889273
254,787,479,0.10155878960580772,67.1647075785331
255,1258,478,0.10134676708053462,67.26605434561363
256,1263,477,0.10113474455526156,67.36718909016889
257,1576,476,0.10092272202998846,67.46811181219888
258,1423,476,0.10092272202998846,67.56903453422888
259,1701,473,0.10028665445416922,67.66932118868304
260,1681,472,0.10007463192889612,67.76939582061193
261,1608,468,0.09922654182780379,67.86862236243974
262,1552,468,0.09922654182780379,67.96784890426754
263,1281,468,0.09922654182780379,68.06707544609534
264,1435,468,0.09922654182780379,68.16630198792315
265,1583,466,0.09880249677725761,68.2651044847004
266,1527,466,0.09880249677725761,68.36390698147765
267,1731,465,0.09859047425198453,68.46249745572963
268,28,460,0.09753036162561911,68.56002781735525
269,865,459,0.09731833910034601,68.65734615645559
270,1409,459,0.09731833910034601,68.75466449555593
271,1221,458,0.09710631657507293,68.85177081213101
272,973,458,0.09710631657507293,68.94887712870609
