Epoch 1/50:   2%|▏         | 14/720 [00:11<08:35,  1.37it/s, loss=0.0334, acc=58.9%, lr=2.08e-07]
Epoch 1/50:   2%|▏         | 15/720 [00:11<09:03,  1.30it/s, loss=0.0334, acc=58.9%, lr=2.08e-07]
Epoch 1/50:   2%|▏         | 15/720 [00:11<09:03,  1.30it/s, loss=0.0449, acc=41.1%, lr=2.22e-07]
Epoch 1/50:   2%|▏         | 16/720 [00:11<08:46,  1.34it/s, loss=0.0449, acc=41.1%, lr=2.22e-07]
Epoch 1/50:   2%|▏         | 16/720 [00:12<08:46,  1.34it/s, loss=0.0456, acc=47.1%, lr=2.36e-07]
Epoch 1/50:   2%|▏         | 17/720 [00:12<08:28,  1.38it/s, loss=0.0456, acc=47.1%, lr=2.36e-07]
Epoch 1/50:   2%|▏         | 17/720 [00:13<08:28,  1.38it/s, loss=0.0509, acc=34.6%, lr=2.50e-07]
Epoch 1/50:   2%|▎         | 18/720 [00:13<08:03,  1.45it/s, loss=0.0509, acc=34.6%, lr=2.50e-07]
Epoch 1/50:   2%|▎         | 18/720 [00:13<08:03,  1.45it/s, loss=0.0313, acc=52.0%, lr=2.64e-07]
Epoch 1/50:   3%|▎         | 19/720 [00:13<07:43,  1.51it/s, loss=0.0313, acc=52.0%, lr=2.64e-07]
Epoch 1/50:   3%|▎         | 19/720 [00:14<07:43,  1.51it/s, loss=0.0475, acc=42.9%, lr=2.78e-07]
Epoch 1/50:   3%|▎         | 20/720 [00:14<08:08,  1.43it/s, loss=0.0475, acc=42.9%, lr=2.78e-07]
Epoch 1/50:   3%|▎         | 20/720 [00:15<08:08,  1.43it/s, loss=0.0365, acc=51.4%, lr=2.92e-07]
Epoch 1/50:   3%|▎         | 21/720 [00:15<08:07,  1.43it/s, loss=0.0365, acc=51.4%, lr=2.92e-07]
Epoch 1/50:   3%|▎         | 21/720 [00:15<08:07,  1.43it/s, loss=0.0574, acc=34.2%, lr=3.06e-07]
Epoch 1/50:   3%|▎         | 22/720 [00:15<07:51,  1.48it/s, loss=0.0574, acc=34.2%, lr=3.06e-07]
Epoch 1/50:   3%|▎         | 22/720 [00:16<07:51,  1.48it/s, loss=0.0501, acc=43.1%, lr=3.19e-07]
Epoch 1/50:   3%|▎         | 23/720 [00:16<08:12,  1.42it/s, loss=0.0501, acc=43.1%, lr=3.19e-07]
Epoch 1/50:   3%|▎         | 23/720 [00:17<08:12,  1.42it/s, loss=0.0424, acc=42.5%, lr=3.33e-07]
Epoch 1/50:   3%|▎         | 24/720 [00:17<07:53,  1.47it/s, loss=0.0424, acc=42.5%, lr=3.33e-07]
Epoch 1/50:   3%|▎         | 24/720 [00:17<07:53,  1.47it/s, loss=0.0346, acc=56.3%, lr=3.47e-07]
Epoch 1/50:   3%|▎         | 25/720 [00:17<07:55,  1.46it/s, loss=0.0346, acc=56.3%, lr=3.47e-07]
Epoch 1/50:   3%|▎         | 25/720 [00:18<07:55,  1.46it/s, loss=0.0405, acc=49.5%, lr=3.61e-07]
Epoch 1/50:   4%|▎         | 26/720 [00:18<07:47,  1.48it/s, loss=0.0405, acc=49.5%, lr=3.61e-07]
Epoch 1/50:   4%|▎         | 26/720 [00:19<07:47,  1.48it/s, loss=0.0373, acc=56.9%, lr=3.75e-07]
Epoch 1/50:   4%|▍         | 27/720 [00:19<07:41,  1.50it/s, loss=0.0373, acc=56.9%, lr=3.75e-07]
Epoch 1/50:   4%|▍         | 27/720 [00:19<07:41,  1.50it/s, loss=0.0491, acc=35.5%, lr=3.89e-07]
Epoch 1/50:   4%|▍         | 28/720 [00:19<07:49,  1.48it/s, loss=0.0491, acc=35.5%, lr=3.89e-07]
Epoch 1/50:   4%|▍         | 28/720 [00:20<07:49,  1.48it/s, loss=0.0320, acc=52.0%, lr=4.03e-07]
Epoch 1/50:   4%|▍         | 29/720 [00:20<07:39,  1.50it/s, loss=0.0320, acc=52.0%, lr=4.03e-07]
Epoch 1/50:   4%|▍         | 29/720 [00:21<07:39,  1.50it/s, loss=0.0455, acc=46.5%, lr=4.17e-07]
Epoch 1/50:   4%|▍         | 30/720 [00:21<07:52,  1.46it/s, loss=0.0455, acc=46.5%, lr=4.17e-07]
Epoch 1/50:   4%|▍         | 30/720 [00:21<07:52,  1.46it/s, loss=0.0541, acc=37.4%, lr=4.31e-07]
Epoch 1/50:   4%|▍         | 31/720 [00:21<07:35,  1.51it/s, loss=0.0541, acc=37.4%, lr=4.31e-07]
Epoch 1/50:   4%|▍         | 31/720 [00:22<07:35,  1.51it/s, loss=0.0515, acc=34.0%, lr=4.44e-07]
Epoch 1/50:   4%|▍         | 32/720 [00:22<07:33,  1.52it/s, loss=0.0515, acc=34.0%, lr=4.44e-07]
Epoch 1/50:   4%|▍         | 32/720 [00:23<07:33,  1.52it/s, loss=0.0412, acc=51.3%, lr=4.58e-07]
Epoch 1/50:   5%|▍         | 33/720 [00:23<07:20,  1.56it/s, loss=0.0412, acc=51.3%, lr=4.58e-07]
Epoch 1/50:   5%|▍         | 33/720 [00:23<07:20,  1.56it/s, loss=0.0418, acc=43.6%, lr=4.72e-07]
Epoch 1/50:   5%|▍         | 34/720 [00:23<07:24,  1.54it/s, loss=0.0418, acc=43.6%, lr=4.72e-07]
Epoch 1/50:   5%|▍         | 34/720 [00:24<07:24,  1.54it/s, loss=0.0366, acc=53.5%, lr=4.86e-07]
Epoch 1/50:   5%|▍         | 35/720 [00:24<07:12,  1.58it/s, loss=0.0366, acc=53.5%, lr=4.86e-07]
Epoch 1/50:   5%|▍         | 35/720 [00:24<07:12,  1.58it/s, loss=0.0288, acc=57.4%, lr=5.00e-07]
Epoch 1/50:   5%|▌         | 36/720 [00:24<07:19,  1.56it/s, loss=0.0288, acc=57.4%, lr=5.00e-07]
Epoch 1/50:   5%|▌         | 36/720 [00:25<07:19,  1.56it/s, loss=0.0511, acc=33.5%, lr=5.14e-07]
Epoch 1/50:   5%|▌         | 37/720 [00:25<07:23,  1.54it/s, loss=0.0511, acc=33.5%, lr=5.14e-07]
Epoch 1/50:   5%|▌         | 37/720 [00:26<07:23,  1.54it/s, loss=0.0437, acc=46.0%, lr=5.28e-07]
Epoch 1/50:   5%|▌         | 38/720 [00:26<07:35,  1.50it/s, loss=0.0437, acc=46.0%, lr=5.28e-07]
Epoch 1/50:   5%|▌         | 38/720 [00:26<07:35,  1.50it/s, loss=0.0461, acc=38.2%, lr=5.42e-07]
Epoch 1/50:   5%|▌         | 39/720 [00:26<07:14,  1.57it/s, loss=0.0461, acc=38.2%, lr=5.42e-07]
Epoch 1/50:   5%|▌         | 39/720 [00:27<07:14,  1.57it/s, loss=0.0330, acc=59.6%, lr=5.56e-07]
Epoch 1/50:   6%|▌         | 40/720 [00:27<07:30,  1.51it/s, loss=0.0330, acc=59.6%, lr=5.56e-07]
Epoch 1/50:   6%|▌         | 40/720 [00:28<07:30,  1.51it/s, loss=0.0238, acc=68.8%, lr=5.69e-07]
Epoch 1/50:   6%|▌         | 41/720 [00:28<07:36,  1.49it/s, loss=0.0238, acc=68.8%, lr=5.69e-07]
Epoch 1/50:   6%|▌         | 41/720 [00:29<07:36,  1.49it/s, loss=0.0341, acc=59.3%, lr=5.83e-07]
Epoch 1/50:   6%|▌         | 42/720 [00:29<07:36,  1.49it/s, loss=0.0341, acc=59.3%, lr=5.83e-07]
Epoch 1/50:   6%|▌         | 42/720 [00:29<07:36,  1.49it/s, loss=0.0382, acc=51.4%, lr=5.97e-07]
Epoch 1/50:   6%|▌         | 43/720 [00:29<07:50,  1.44it/s, loss=0.0382, acc=51.4%, lr=5.97e-07]
Epoch 1/50:   6%|▌         | 43/720 [00:30<07:50,  1.44it/s, loss=0.0527, acc=40.6%, lr=6.11e-07]
Epoch 1/50:   6%|▌         | 44/720 [00:30<07:36,  1.48it/s, loss=0.0527, acc=40.6%, lr=6.11e-07]
Epoch 1/50:   6%|▌         | 44/720 [00:31<07:36,  1.48it/s, loss=0.0460, acc=43.3%, lr=6.25e-07]
Epoch 1/50:   6%|▋         | 45/720 [00:31<07:23,  1.52it/s, loss=0.0460, acc=43.3%, lr=6.25e-07]
Epoch 1/50:   6%|▋         | 45/720 [00:31<07:23,  1.52it/s, loss=0.0466, acc=40.6%, lr=6.39e-07]
Epoch 1/50:   6%|▋         | 46/720 [00:31<07:18,  1.54it/s, loss=0.0466, acc=40.6%, lr=6.39e-07]
Epoch 1/50:   6%|▋         | 46/720 [00:32<07:18,  1.54it/s, loss=0.0299, acc=58.6%, lr=6.53e-07]
Epoch 1/50:   7%|▋         | 47/720 [00:32<07:29,  1.50it/s, loss=0.0299, acc=58.6%, lr=6.53e-07]
Epoch 1/50:   7%|▋         | 47/720 [00:33<07:29,  1.50it/s, loss=0.0519, acc=36.0%, lr=6.67e-07]
Epoch 1/50:   7%|▋         | 48/720 [00:33<07:23,  1.52it/s, loss=0.0519, acc=36.0%, lr=6.67e-07]
Epoch 1/50:   7%|▋         | 48/720 [00:33<07:23,  1.52it/s, loss=0.0304, acc=58.0%, lr=6.81e-07]
Epoch 1/50:   7%|▋         | 49/720 [00:33<07:28,  1.50it/s, loss=0.0304, acc=58.0%, lr=6.81e-07]
Epoch 1/50:   7%|▋         | 49/720 [00:34<07:28,  1.50it/s, loss=0.0475, acc=37.7%, lr=6.94e-07]
Epoch 1/50:   7%|▋         | 50/720 [00:34<07:08,  1.56it/s, loss=0.0475, acc=37.7%, lr=6.94e-07]
Epoch 1/50:   7%|▋         | 50/720 [00:34<07:08,  1.56it/s, loss=0.0416, acc=42.8%, lr=7.08e-07]
Epoch 1/50:   7%|▋         | 51/720 [00:34<06:53,  1.62it/s, loss=0.0416, acc=42.8%, lr=7.08e-07]
Epoch 1/50:   7%|▋         | 51/720 [00:35<06:53,  1.62it/s, loss=0.0444, acc=46.0%, lr=7.22e-07]
Epoch 1/50:   7%|▋         | 52/720 [00:35<07:02,  1.58it/s, loss=0.0444, acc=46.0%, lr=7.22e-07]
Epoch 1/50:   7%|▋         | 52/720 [00:36<07:02,  1.58it/s, loss=0.0446, acc=41.7%, lr=7.36e-07]
Epoch 1/50:   7%|▋         | 53/720 [00:36<07:03,  1.57it/s, loss=0.0446, acc=41.7%, lr=7.36e-07]
Epoch 1/50:   7%|▋         | 53/720 [00:36<07:03,  1.57it/s, loss=0.0434, acc=34.3%, lr=7.50e-07]
Epoch 1/50:   8%|▊         | 54/720 [00:36<06:57,  1.60it/s, loss=0.0434, acc=34.3%, lr=7.50e-07]
Epoch 1/50:   8%|▊         | 54/720 [00:37<06:57,  1.60it/s, loss=0.0345, acc=50.2%, lr=7.64e-07]
Epoch 1/50:   8%|▊         | 55/720 [00:37<07:27,  1.48it/s, loss=0.0345, acc=50.2%, lr=7.64e-07]
Epoch 1/50:   8%|▊         | 55/720 [00:38<07:27,  1.48it/s, loss=0.0497, acc=38.7%, lr=7.78e-07]
Epoch 1/50:   8%|▊         | 56/720 [00:38<07:05,  1.56it/s, loss=0.0497, acc=38.7%, lr=7.78e-07]
Epoch 1/50:   8%|▊         | 56/720 [00:38<07:05,  1.56it/s, loss=0.0378, acc=48.8%, lr=7.92e-07]
Epoch 1/50:   8%|▊         | 57/720 [00:38<07:12,  1.53it/s, loss=0.0378, acc=48.8%, lr=7.92e-07]
Epoch 1/50:   8%|▊         | 57/720 [00:39<07:12,  1.53it/s, loss=0.0353, acc=45.0%, lr=8.06e-07]
Epoch 1/50:   8%|▊         | 58/720 [00:39<07:23,  1.49it/s, loss=0.0353, acc=45.0%, lr=8.06e-07]
Epoch 1/50:   8%|▊         | 58/720 [00:40<07:23,  1.49it/s, loss=0.0427, acc=41.9%, lr=8.19e-07]
Epoch 1/50:   8%|▊         | 59/720 [00:40<07:16,  1.52it/s, loss=0.0427, acc=41.9%, lr=8.19e-07]
Epoch 1/50:   8%|▊         | 59/720 [00:40<07:16,  1.52it/s, loss=0.0444, acc=44.6%, lr=8.33e-07]
Epoch 1/50:   8%|▊         | 60/720 [00:40<07:13,  1.52it/s, loss=0.0444, acc=44.6%, lr=8.33e-07]
Epoch 1/50:   8%|▊         | 60/720 [00:41<07:13,  1.52it/s, loss=0.0349, acc=49.7%, lr=8.47e-07]
Epoch 1/50:   8%|▊         | 61/720 [00:41<07:08,  1.54it/s, loss=0.0349, acc=49.7%, lr=8.47e-07]
Epoch 1/50:   8%|▊         | 61/720 [00:41<07:08,  1.54it/s, loss=0.0415, acc=41.8%, lr=8.61e-07]
Epoch 1/50:   9%|▊         | 62/720 [00:41<06:54,  1.59it/s, loss=0.0415, acc=41.8%, lr=8.61e-07]
Epoch 1/50:   9%|▊         | 62/720 [00:42<06:54,  1.59it/s, loss=0.0378, acc=53.1%, lr=8.75e-07]
Epoch 1/50:   9%|▉         | 63/720 [00:42<07:09,  1.53it/s, loss=0.0378, acc=53.1%, lr=8.75e-07]
Epoch 1/50:   9%|▉         | 63/720 [00:43<07:09,  1.53it/s, loss=0.0460, acc=35.3%, lr=8.89e-07]
Epoch 1/50:   9%|▉         | 64/720 [00:43<07:16,  1.50it/s, loss=0.0460, acc=35.3%, lr=8.89e-07]
Epoch 1/50:   9%|▉         | 64/720 [00:43<07:16,  1.50it/s, loss=0.0427, acc=41.9%, lr=9.03e-07]
Epoch 1/50:   9%|▉         | 65/720 [00:43<07:02,  1.55it/s, loss=0.0427, acc=41.9%, lr=9.03e-07]
Epoch 1/50:   9%|▉         | 65/720 [00:44<07:02,  1.55it/s, loss=0.0579, acc=27.4%, lr=9.17e-07]
Epoch 1/50:   9%|▉         | 66/720 [00:44<06:50,  1.59it/s, loss=0.0579, acc=27.4%, lr=9.17e-07]
Epoch 1/50:   9%|▉         | 66/720 [00:45<06:50,  1.59it/s, loss=0.0383, acc=45.7%, lr=9.31e-07]
Epoch 1/50:   9%|▉         | 67/720 [00:45<06:57,  1.56it/s, loss=0.0383, acc=45.7%, lr=9.31e-07]
Epoch 1/50:   9%|▉         | 67/720 [00:45<06:57,  1.56it/s, loss=0.0355, acc=48.6%, lr=9.44e-07]
Epoch 1/50:   9%|▉         | 68/720 [00:45<06:47,  1.60it/s, loss=0.0355, acc=48.6%, lr=9.44e-07]
Epoch 1/50:   9%|▉         | 68/720 [00:46<06:47,  1.60it/s, loss=0.0310, acc=46.3%, lr=9.58e-07]
Epoch 1/50:  10%|▉         | 69/720 [00:46<06:45,  1.60it/s, loss=0.0310, acc=46.3%, lr=9.58e-07]
Epoch 1/50:  10%|▉         | 69/720 [00:47<06:45,  1.60it/s, loss=0.0341, acc=56.4%, lr=9.72e-07]
Epoch 1/50:  10%|▉         | 70/720 [00:47<07:07,  1.52it/s, loss=0.0341, acc=56.4%, lr=9.72e-07]
Epoch 1/50:  10%|▉         | 70/720 [00:47<07:07,  1.52it/s, loss=0.0471, acc=38.7%, lr=9.86e-07]
Epoch 1/50:  10%|▉         | 71/720 [00:47<07:04,  1.53it/s, loss=0.0471, acc=38.7%, lr=9.86e-07]
Epoch 1/50:  10%|▉         | 71/720 [00:48<07:04,  1.53it/s, loss=0.0351, acc=45.1%, lr=1.00e-06]
Epoch 1/50:  10%|█         | 72/720 [00:48<06:48,  1.59it/s, loss=0.0351, acc=45.1%, lr=1.00e-06]
Epoch 1/50:  10%|█         | 72/720 [00:49<06:48,  1.59it/s, loss=0.0356, acc=49.2%, lr=1.01e-06]
Epoch 1/50:  10%|█         | 73/720 [00:49<07:23,  1.46it/s, loss=0.0356, acc=49.2%, lr=1.01e-06]
Epoch 1/50:  10%|█         | 73/720 [00:49<07:23,  1.46it/s, loss=0.0407, acc=47.6%, lr=1.03e-06]
Epoch 1/50:  10%|█         | 74/720 [00:49<07:24,  1.45it/s, loss=0.0407, acc=47.6%, lr=1.03e-06]
Epoch 1/50:  10%|█         | 74/720 [00:50<07:24,  1.45it/s, loss=0.0341, acc=47.6%, lr=1.04e-06]
Epoch 1/50:  10%|█         | 75/720 [00:50<07:13,  1.49it/s, loss=0.0341, acc=47.6%, lr=1.04e-06]
Epoch 1/50:  10%|█         | 75/720 [00:51<07:13,  1.49it/s, loss=0.0365, acc=43.2%, lr=1.06e-06]
Epoch 1/50:  11%|█         | 76/720 [00:51<07:29,  1.43it/s, loss=0.0365, acc=43.2%, lr=1.06e-06]
Epoch 1/50:  11%|█         | 76/720 [00:51<07:29,  1.43it/s, loss=0.0586, acc=21.8%, lr=1.07e-06]
Epoch 1/50:  11%|█         | 77/720 [00:51<07:11,  1.49it/s, loss=0.0586, acc=21.8%, lr=1.07e-06]
Epoch 1/50:  11%|█         | 77/720 [00:52<07:11,  1.49it/s, loss=0.0353, acc=43.9%, lr=1.08e-06]
Epoch 1/50:  11%|█         | 78/720 [00:52<07:48,  1.37it/s, loss=0.0353, acc=43.9%, lr=1.08e-06]
Epoch 1/50:  11%|█         | 78/720 [00:53<07:48,  1.37it/s, loss=0.0394, acc=44.3%, lr=1.10e-06]
Epoch 1/50:  11%|█         | 79/720 [00:53<08:41,  1.23it/s, loss=0.0394, acc=44.3%, lr=1.10e-06]
Epoch 1/50:  11%|█         | 79/720 [00:54<08:41,  1.23it/s, loss=0.0466, acc=36.0%, lr=1.11e-06]
Epoch 1/50:  11%|█         | 80/720 [00:54<07:55,  1.35it/s, loss=0.0466, acc=36.0%, lr=1.11e-06]
Epoch 1/50:  11%|█         | 80/720 [00:55<07:55,  1.35it/s, loss=0.0383, acc=45.5%, lr=1.13e-06]
Epoch 1/50:  11%|█▏        | 81/720 [00:55<07:33,  1.41it/s, loss=0.0383, acc=45.5%, lr=1.13e-06]
Epoch 1/50:  11%|█▏        | 81/720 [00:55<07:33,  1.41it/s, loss=0.0572, acc=33.5%, lr=1.14e-06]
