token_id,count,acc
936,2,0.0
937,9,0.0
938,13,0.0
940,18,0.0
941,2,0.0
943,19,0.0
944,14,0.0
945,29,0.0
946,6,0.0
947,15,0.0
948,9,0.0
949,26,0.0
950,2,0.0
951,5,0.0
952,18,0.0
953,2,0.0
954,9,0.0
955,9,0.0
956,4,0.0
957,1,0.0
958,7,0.0
959,15,0.0
961,10,0.0
962,15,0.0
964,4,0.0
965,6,0.0
966,9,0.0
968,5,0.0
969,8,0.0
970,2,0.0
972,12,0.0
973,17,0.0
974,1,0.0
975,19,0.0
976,5,0.0
977,1,0.0
978,1,0.0
979,12,0.0
980,17,0.0
981,1,0.0
983,24,0.0
984,6,0.0
985,17,0.0
986,3,0.0
987,12,0.0
988,1,0.0
989,12,0.0
990,10,0.0
991,4,0.0
992,3,0.0
993,6,0.0
994,6,0.0
995,3,0.0
996,15,0.0
997,8,0.0
998,10,0.0
999,5,0.0
1000,4,0.0
1001,17,0.0
1002,31,0.0
1003,2,0.0
1004,26,0.0
1005,14,0.0
1006,12,0.0
1007,1,0.0
1008,30,0.0
1009,8,0.0
1010,3,0.0
1011,8,0.0
1012,1,0.0
1013,19,0.0
1014,7,0.0
1015,35,0.0
1016,8,0.0
1018,42,0.0
1019,27,0.0
1020,3,0.0
1021,2,0.0
1022,18,0.0
1023,2,0.0
1024,5,0.0
1025,18,0.0
1026,11,0.0
1027,42,0.07142857142857142
1028,2,0.0
1029,30,0.36666666666666664
1030,15,0.0
1031,8,0.0
1032,3,0.0
1033,6,0.0
1034,16,0.0
1035,12,0.0
1036,10,0.0
1037,2,0.0
1038,1,0.0
1039,6,0.0
1040,17,0.0
1041,11,0.0
1042,15,0.0
1043,1,0.0
1045,1,0.0
1047,30,0.0
1048,21,0.0
1049,5,0.0
1050,1,0.0
1051,4,0.0
1052,2,0.0
1053,9,0.0
1054,1,0.0
1055,3,0.0
1056,16,0.0
1057,6,0.0
1058,13,0.0
1059,4,0.0
1060,5,0.0
1061,26,0.0
1062,3,0.0
1065,3,0.0
1066,5,0.0
1067,3,0.0
1068,15,0.0
1069,28,0.0
1071,3,0.0
1072,2,0.0
1073,22,0.0
1074,6,0.0
1075,18,0.0
1076,3,0.0
1077,11,0.0
1078,12,0.0
1079,1,0.0
1080,3,0.0
1081,30,0.0
1082,22,0.0
1083,21,0.0
1084,4,0.0
1085,4,0.0
1086,10,0.0
1087,19,0.0
1088,22,0.0
1089,13,0.0
1091,15,0.0
1092,3,0.0
1093,17,0.0
1094,2,0.0
1096,3,0.0
1097,13,0.0
1098,10,0.0
1099,2,0.0
1100,9,0.0
1101,2,0.0
1102,3,0.0
1103,1,0.0
1104,8,0.0
1105,12,0.0
1107,10,0.0
1108,4,0.0
1109,6,0.0
1110,12,0.0
1111,1,0.0
1112,4,0.0
1113,14,0.0
1114,4,0.0
1117,12,0.0
1118,3,0.0
1119,3,0.0
1120,5,0.0
1121,1,0.0
1122,3,0.0
1123,1,0.0
1124,3,0.0
1125,13,0.0
1126,9,0.0
1127,4,0.0
1129,20,0.0
1132,7,0.0
1133,1,0.0
1134,3,0.0
1135,18,0.0
1136,21,0.0
1139,7,0.0
1140,2,0.0
1141,18,0.0
1142,3,0.0
1143,9,0.0
1144,2,0.0
1145,15,0.0
1146,14,0.0
1147,14,0.0
1149,6,0.0
1150,7,0.0
1151,41,0.0
1152,6,0.0
1153,2,0.0
1155,16,0.0
1156,7,0.0
1157,5,0.0
1160,19,0.0
1161,19,0.0
1162,2,0.0
1163,11,0.0
1164,3,0.0
1166,41,0.0
1167,1,0.0
1168,4,0.0
1169,1,0.0
1170,6,0.0
1171,20,0.0
1172,4,0.0
1173,17,0.0
1174,10,0.0
1175,17,0.0
1176,10,0.0
1177,3,0.0
1178,20,0.0
1179,2,0.0
1180,13,0.0
1181,2,0.0
1182,5,0.0
1183,5,0.0
1184,2,0.0
1185,2,0.0
1186,3,0.0
1187,1,0.0
1189,6,0.0
1190,2,0.0
1191,1,0.0
1192,6,0.0
1195,1,0.0
1196,5,0.0
1197,3,0.0
1199,1,0.0
1200,6,0.0
1204,7,0.0
1205,4,0.0
1206,7,0.0
1208,2,0.0
1209,1,0.0
1210,8,0.0
1212,18,0.0
1213,1,0.0
1214,2,0.0
1215,7,0.0
1216,2,0.0
1217,44,0.045454545454545456
1218,9,0.0
1219,3,0.0
1220,13,0.0
1221,12,0.0
1222,3,0.0
1223,5,0.0
1224,13,0.0
1225,7,0.0
1226,25,0.0
