token_id,count,margin_on_mean,margin_off_mean,delta_margin_mean
377,8,0.010884313262067735,0.0765268080867827,4.5027307868003845
379,7,0.12527639658323356,0.17615687740700586,0.7868017128535679
380,2,0.01013857964426279,0.017312124371528625,4.411828994750977
381,1,0.017016151919960976,0.03578517585992813,1.8460583686828613
382,7,0.011464485765567847,0.007239068193095071,3.2442664078303745
383,10,0.01172634307295084,0.01388603262603283,2.6279125213623047
384,11,0.009262131188403477,0.008611968125809322,4.446869503368031
385,13,0.015837854204269555,0.018849013659816522,2.380637902479905
386,7,0.005478340866310256,0.007067277495350156,1.7138631684439523
387,3,0.00720449381818374,0.0178669486194849,1.4724962711334229
388,16,0.015986078593414277,0.019254142185673118,2.5992852225899696
389,6,0.013531744480133057,0.057189890183508396,3.641014496485392
390,24,0.05287416838109493,0.06836880991856258,2.480255881945292
391,5,0.04128516539931297,0.032898719608783725,4.3886150360107425
392,2,0.004510216880589724,0.02669605240225792,4.877333164215088
393,13,0.04887756590659802,0.0485220356629445,1.8661312690147986
395,28,0.042095283911164315,0.019505736018930162,3.536109992436
397,15,0.015603410452604294,0.03125203202168147,3.177703030904134
398,23,0.016732900848855144,0.01919373481169991,2.56808965102486
399,21,0.020002969141517366,0.052028884490331016,4.1537163598196845
400,18,0.026420748171706993,0.025263132941391733,1.9824095302157931
401,12,0.059722310242553554,0.01967623612533013,4.1656480232874555
402,16,0.01734938134904951,0.02381042274646461,2.5011836290359497
404,8,0.0302927999291569,0.020452777855098248,3.2516728937625885
406,7,0.0030388891963022096,0.007218683138489723,1.8860186508723669
407,18,0.01700574614935451,0.02163149199138085,3.0040444003211126
408,14,0.017417876848152707,0.016922996113342897,1.6093766348702567
409,32,0.04360223328694701,0.0558105306699872,3.4851638600230217
410,3,0.009676547721028328,0.024484834323326748,3.0895344416300454
411,24,0.01894727679124723,0.03041950931462149,2.590063214302063
412,19,0.013414367935375163,0.045158479852895984,2.177280752282394
413,7,0.06417166947254113,0.13336585674967086,1.6644130434308733
414,1,0.002821793779730797,0.007511619478464127,3.441107749938965
415,12,0.019200232966492575,0.025628127468128998,3.438953439394633
416,27,0.02513594007878392,0.015306752382053269,3.7594002264517323
417,59,0.19442445140773967,0.1466770187272864,1.237876730450129
419,2,0.025644818786531687,0.017490718513727188,3.84328293800354
420,13,0.09615156326729518,0.0686621882307988,2.2173341054182787
422,14,0.018741870432027748,0.024815005649413382,1.9111576080322266
424,9,0.05071820235914654,0.027955402102735307,1.4285316467285156
425,17,0.026669931871926084,0.0273395700051504,2.814343957340016
426,22,0.05969084325161847,0.016217672943391583,2.683104623447765
428,28,0.027836550625839403,0.04333811293223074,2.2364222151892528
429,26,0.02572100652525058,0.03931039070280699,1.6647602778214674
430,14,0.021827216193612133,0.029348481313458512,3.9730755942208424
432,6,0.005103051041563352,0.028530948795378208,2.2273643811543784
433,18,0.04474924670325385,0.0411506411102083,2.8507428301705255
434,12,0.010343082947656512,0.026200230543812115,1.112501899401347
436,11,0.013852524317123673,0.01884163949977268,2.982381972399625
438,10,0.0073088835924863815,0.042172895185649394,3.7274845838546753
439,32,0.02025257720379159,0.03999408520758152,3.071908801794052
440,48,0.02198847538481156,0.01999606533596913,3.65095845858256
441,14,0.008400892240128346,0.021209832014782087,1.0997504847390311
442,2,0.022346305660903454,0.07020234316587448,2.6920218467712402
443,30,0.020441337178150814,0.025737763196229935,3.493691857655843
444,2,0.0010019754990935326,0.017693040892481804,4.113413333892822
446,20,0.010721640009433032,0.03120640367269516,2.060687553882599
448,5,0.013004007935523986,0.03682494759559631,3.128856658935547
450,13,0.04507620095346983,0.041090063750743866,3.1772420773139367
452,10,0.015054051764309406,0.02193984892219305,1.697984552383423
453,9360,0.9883251614040799,0.9756432427300348,1.7733923757178152
454,39,0.01785275335304248,0.04862910690597999,3.1798676955394254
455,30,0.024755929410457612,0.049632825205723444,3.1279390970865886
456,12,0.021776579630871613,0.03875061962753534,2.597206393877665
457,2,0.009190012235194445,0.006151106208562851,2.9933849573135376
458,5,0.05617052763700485,0.029161322861909866,1.8426581382751466
461,7,0.004111165579940591,0.01605057024530002,2.4276077406747
462,40,0.03526915647089481,0.0464116457849741,1.5050207376480103
463,1,0.014195237308740616,0.04406740888953209,3.2562437057495117
465,27,0.16712035183553342,0.12679386939163562,0.4622236092885335
466,15,0.014849369848767916,0.02333273875216643,2.3067253112792967
467,27,0.020810387373246527,0.01524207133937765,2.9578690352263273
471,26,0.023090420219187554,0.04539521110172455,3.1753697028526893
472,3,0.014921270310878754,0.030296549201011658,1.5404442151387532
473,20,0.010630179289728403,0.01353259589523077,2.7516886472702025
474,14,0.016641527813460146,0.02104532785181488,2.3191761459623064
475,15,0.04251369026799997,0.020556237424413364,1.3734976768493652
476,8,0.007615753682330251,0.024099515983834863,2.6337534189224243
477,3,0.011856652796268463,0.006996579468250275,1.847081979115804
478,1,0.002393159084022045,0.0012530740350484848,2.343768358230591
479,9,0.017143189079231687,0.009288522518343396,2.6348151630825467
480,20,0.02559104198589921,0.019844330474734308,3.821407413482666
481,14,0.014399207596267973,0.011773629114031792,3.6818574156079973
482,3,0.023494359105825424,0.01357530119518439,2.5303597450256348
483,16,0.01676177280023694,0.01840707112569362,2.5443273186683655
485,24,0.014082251582294703,0.01874144095927477,3.123458743095398
486,1,0.0419323705136776,0.21957072615623474,6.627306938171387
488,14,0.03433769302708762,0.016627945271985873,3.0284328120095387
491,36,0.056496743112802505,0.04165264219045639,2.0553862518734403
492,15,0.018449090669552484,0.02037276402115822,2.0936765988667805
493,28,0.018193454215569154,0.0274449056679649,3.0193639057023183
495,16,0.008892102690879256,0.012123391265049577,3.2544278502464294
496,54,0.2544114148175275,0.21044298675325182,1.4837922387652926
497,6,0.008568272925913334,0.02252305516352256,2.41897722085317
498,7,0.01477650725947959,0.03808729935969625,2.131094455718994
499,3,0.006280953685442607,0.031189051146308582,3.15500807762146
500,10,0.016918639093637465,0.033576999232172965,3.763056230545044
501,17,0.12142198417774018,0.11855432139161755,2.2394477199105656
502,18,0.017079785724894866,0.01297654490917921,2.5834406746758356
503,33,0.05912236798780434,0.03936579575141271,3.2480000871600527
504,32,0.055145046673715115,0.0792618989944458,4.202774524688721
505,8,0.0331817870028317,0.06343075633049011,1.6787052154541016
506,20,0.034558020252734425,0.03575430922210217,3.3522234559059143
507,15,0.012169095377127329,0.0372575044631958,2.524327818552653
508,6,0.011927717986206213,0.020430412143468857,2.5175649325052896
509,2,0.020568979904055595,0.011356226168572903,3.0937533378601074
510,39,0.034999949809832454,0.029543339441984128,2.4185357216076975
511,1,0.0016784705221652985,0.02149868942797184,2.648008346557617
512,11,0.015482820401137526,0.09849849783561447,2.8946840546347876
513,1,0.0017110444605350494,0.0034247413277626038,1.3245019912719727
514,34,0.02048870625303072,0.02297528920804753,3.109940809362075
515,6,0.017155826402207214,0.014170984116693338,1.609722375869751
517,1,0.02882280945777893,0.2036992311477661,2.374457359313965
518,14,0.012026092569742883,0.033971251520727365,2.5437890120915005
519,41,0.04158265934121318,0.018920724938918904,3.4077080982487375
520,23,0.011357249570605547,0.025764627139205517,2.702208000680675
521,20,0.01349653177894652,0.01921319551765919,2.4770864605903626
522,14,0.012013749751661505,0.01785825871463333,3.912433317729405
524,15,0.023756246268749236,0.014666735877593358,2.128877544403076
525,36,0.030607131620248158,0.042099060697688,2.376624902089437
527,8,0.010137367993593216,0.01590488711372018,3.812106132507324
528,2,0.013927563093602657,0.002885458990931511,2.045633554458618
529,16,0.010386184905655682,0.04014460172038525,2.820499911904335
530,2,0.00299186073243618,0.010839391499757767,2.1285451650619507
532,25,0.011884665712714196,0.016737535521388056,2.9294493103027346
533,11,0.012879488735713741,0.011109627444635738,3.416218887675892
534,2,0.011047117877751589,0.004017810337245464,3.4204320907592773
535,13,0.024259964648920756,0.023484619620900888,1.7704829069284291
536,29,0.02790590131591106,0.028433311345248388,3.2064716733735183
537,3,0.01089066763718923,0.0031939459343751273,3.167935053507487
538,1,0.0005947938188910484,0.003960438072681427,3.38503360748291
539,22,0.061523320746015416,0.031965964727781036,3.7327268557115034
540,14,0.008596572293234723,0.010613643431237765,1.9867192506790161
541,3,0.003057170348862807,0.03132061598201593,4.371527353922526
542,10,0.050316030625253916,0.04045593570917845,3.1407095432281493
543,25,0.02786548174917698,0.016781468167901038,3.76362548828125
544,57,0.22807117512351588,0.18945856261671634,1.821559320416367
545,16,0.009922823519445956,0.07218764931894839,2.118656411767006
546,17,0.01620682076934506,0.023237969288054633,4.386577101314769
547,19,0.020092173773599297,0.012683360102145295,1.2689433097839355
548,4,0.0052254884503781796,0.009663494303822517,2.954574704170227
549,34,0.029638378442648577,0.023699121768860257,2.471073059474721
550,13,0.012763322402651493,0.023594266233535912,2.4752593407264123
551,37,0.11339155725530677,0.12537797399469325,2.286720288766397
552,11,0.011918459341607311,0.021936748346144504,2.2872424775903877
