token_id,count,acc
550,13,0.15384615384615385
551,37,0.21621621621621623
552,11,0.09090909090909091
553,22,0.13636363636363635
554,8,0.125
555,2,0.0
556,44,0.25
557,40,0.275
558,1,0.0
559,6,0.0
560,13,0.23076923076923078
561,95,0.7368421052631579
564,2,0.0
565,14,0.2857142857142857
566,7,0.14285714285714285
567,6,0.0
568,1,0.0
569,17,0.17647058823529413
570,8,0.125
571,13,0.15384615384615385
572,8,0.0
573,12,0.16666666666666666
575,50,0.3
576,35,0.17142857142857143
577,10,0.4
579,10,0.4
580,2,0.5
581,9,0.3333333333333333
582,8,0.25
583,23,0.21739130434782608
584,2,0.0
585,3,0.3333333333333333
587,7,0.14285714285714285
588,12,0.08333333333333333
589,9,0.2222222222222222
590,2,0.0
591,6,0.0
592,40,0.25
593,2,0.0
595,22,0.09090909090909091
596,25,0.24
597,1,0.0
599,48,0.375
600,12,0.16666666666666666
602,3,0.0
603,1,0.0
604,13,0.07692307692307693
605,7,0.0
606,1,0.0
607,21,0.19047619047619047
608,5,0.0
609,19,0.21052631578947367
610,8,0.25
611,12,0.16666666666666666
613,3,0.0
614,26,0.038461538461538464
615,9,0.3333333333333333
616,40,0.1
617,19,0.10526315789473684
618,18,0.16666666666666666
619,5,0.2
620,7,0.14285714285714285
621,25,0.36
622,1,0.0
623,9,0.2222222222222222
624,5,0.2
625,10,0.1
626,14,0.14285714285714285
627,2,0.0
628,12,0.16666666666666666
629,52,0.1346153846153846
631,25,0.24
632,12,0.25
633,11,0.18181818181818182
634,16,0.3125
635,1,0.0
636,12,0.08333333333333333
637,15,0.13333333333333333
638,2,0.5
639,26,0.23076923076923078
640,12,0.0
641,9,0.2222222222222222
642,14,0.2857142857142857
644,40,0.2
645,9,0.2222222222222222
646,1,0.0
647,18,0.16666666666666666
648,17,0.17647058823529413
651,2,0.0
652,4,0.0
653,12,0.08333333333333333
654,17,0.11764705882352941
656,15,0.26666666666666666
657,29,0.20689655172413793
658,15,0.4
659,5,0.4
660,8,0.25
662,22,0.09090909090909091
664,10,0.1
665,21,0.19047619047619047
666,3,0.0
668,3,0.0
669,11,0.09090909090909091
670,1,0.0
671,1,0.0
673,1,1.0
676,2,0.0
677,2,0.0
678,17,0.17647058823529413
679,29,0.2413793103448276
680,2,0.0
681,2,0.0
682,28,0.32142857142857145
683,12,0.08333333333333333
686,26,0.23076923076923078
687,9,0.0
688,28,0.17857142857142858
689,2,0.0
691,1,0.0
692,5,0.0
694,28,0.10714285714285714
695,27,0.2222222222222222
696,15,0.26666666666666666
697,21,0.0
699,4,0.25
700,17,0.17647058823529413
701,18,0.05555555555555555
702,28,0.21428571428571427
703,25,0.16
704,84,0.2976190476190476
705,25,0.2
708,7,0.2857142857142857
709,4,0.0
710,11,0.18181818181818182
711,20,0.3
712,3,0.3333333333333333
713,22,0.18181818181818182
714,31,0.2903225806451613
715,22,0.3181818181818182
716,18,0.2222222222222222
717,3,0.3333333333333333
718,4,0.0
719,25,0.28
720,4,0.0
721,10,0.1
722,2,0.0
723,7,0.0
725,23,0.17391304347826086
726,2,0.0
727,6,0.16666666666666666
728,1,0.0
730,23,0.21739130434782608
731,10,0.4
732,1,0.0
733,3,0.3333333333333333
734,5,0.0
735,3,0.0
736,26,0.15384615384615385
737,9,0.1111111111111111
738,20,0.15
739,4,0.0
740,4,0.25
741,20,0.2
742,12,0.16666666666666666
744,3,0.0
745,4,0.0
746,25,0.16
748,10,0.1
749,24,0.20833333333333334
750,9,0.1111111111111111
751,1,0.0
752,2,0.0
753,16,0.25
755,22,0.18181818181818182
756,16,0.1875
757,18,0.16666666666666666
758,11,0.2727272727272727
759,15,0.06666666666666667
760,2,0.0
761,9,0.2222222222222222
762,1,0.0
763,7,0.2857142857142857
764,14,0.14285714285714285
765,9,0.1111111111111111
766,17,0.29411764705882354
767,11,0.0
768,12,0.16666666666666666
769,26,0.19230769230769232
770,5,0.4
773,3,0.0
774,16,0.25
775,24,0.25
776,7,0.2857142857142857
777,10,0.0
778,8,0.125
779,12,0.16666666666666666
780,38,0.21052631578947367
781,6,0.0
782,35,0.2
783,18,0.1111111111111111
784,1,0.0
785,8,0.125
786,10,0.0
787,31,0.1935483870967742
788,24,0.20833333333333334
789,25,0.32
790,22,0.09090909090909091
791,15,0.2
793,3,0.0
794,12,0.16666666666666666
795,2,0.0
796,12,0.16666666666666666
797,4,0.25
798,19,0.21052631578947367
799,4,0.0
800,13,0.3076923076923077
