file_id,speaker,utt,kind,material,layer_idx,module_path,stage,abs_mean,rms,temp_std,delta_rms
boy7_clean_001,boy7,001,clean,clean,6,encoder.model[4].block[3],residual,10.56489086151123,21.053264617919922,20.240785598754883,26.97513198852539
boy7_clean_001,boy7,001,clean,clean,7,encoder.model[4].shortcut,residual,2.633315086364746,5.780675411224365,4.914186000823975,7.351501941680908
boy7_clean_001,boy7,001,clean,clean,8,encoder.model[6],downsample,17.88347625732422,36.507564544677734,33.86611557006836,48.68693923950195
boy7_clean_001,boy7,001,clean,clean,9,encoder.model[7].block[1],residual,23.624849319458008,48.57607650756836,44.54181671142578,67.48225402832031
boy7_clean_001,boy7,001,clean,clean,10,encoder.model[7].block[3],residual,9.67659854888916,24.60134506225586,17.65853500366211,31.91291618347168
boy7_clean_001,boy7,001,clean,clean,11,encoder.model[7].shortcut,residual,5.73342227935791,14.892001152038574,10.653298377990723,17.587343215942383
boy7_clean_001,boy7,001,clean,clean,12,encoder.model[9],downsample,7.771303653717041,18.185455322265625,12.513872146606445,18.039653778076172
boy7_clean_001,boy7,001,clean,clean,13,encoder.model[10].block[1],residual,6.3990159034729,15.835016250610352,9.69499397277832,13.332210540771484
boy7_clean_001,boy7,001,clean,clean,14,encoder.model[10].block[3],residual,1.6868560314178467,4.456150531768799,2.4482486248016357,4.39500617980957
boy7_clean_001,boy7,001,clean,clean,15,encoder.model[10].shortcut,residual,2.7261857986450195,13.126422882080078,3.2579429149627686,3.86769700050354
boy7_clean_001,boy7,001,clean,clean,16,encoder.model[12],downsample,0.19355157017707825,0.44926533102989197,0.2513843774795532,0.4784463047981262
boy7_clean_001,boy7,001,clean,clean,17,encoder.model[15],projection,0.21915729343891144,0.2785704731941223,0.2672746181488037,0.32773733139038086
girl9_clean_001,girl9,001,clean,clean,0,encoder.model[0],stem,0.16176709532737732,0.3085351288318634,0.2744874954223633,0.08933442831039429
girl9_clean_001,girl9,001,clean,clean,1,encoder.model[1].block[1],residual,0.6528049111366272,1.1699668169021606,1.002953052520752,0.5892128348350525
girl9_clean_001,girl9,001,clean,clean,2,encoder.model[1].block[3],residual,1.509886622428894,2.084237575531006,2.0637478828430176,2.4956090450286865
